Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Status,Effective Month,Effective Year,Current Month,Current Year,Associated with Combined Heat and Power System,Sector Name,Sector,Previously Canceled,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Turbines or Hydrokinetic Buoys,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Solid Fuel Gasification System?,Carbon Capture Technology?,Multiple Fuels?,Switch Between Oil and Natural Gas?,Cofire Fuels?
64612,"Sunnybrook Farm Solar, LLC",65307,Sunnybrook Solar Project - Hybrid,VA,Halifax,SUNS,Solar Photovoltaic,PV,,S,X,X,,,51,0.95,51,51,P,12,2022,12,2022,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
50123,"Leeward Asset Management, LLC",65308,Horizon Solar,TX,Frio,HRZNS,Solar Photovoltaic,PV,,S,X,X,,,200, ,200,200,T,12,2023,12,2023,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
60025,Greenbacker Renewable Energy Corporation,65309,Millersport GM 1,NY,Erie,532,Solar Photovoltaic,PV,,S,X,X,,,5, ,5,5,U,1,2022,4,2022,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
64587,"Renegade Renewables, LLC",65310,Renegade Solar Project (Dawn),TX,Deaf Smith,DAWN1,Solar Photovoltaic,PV,,S,X,X,,,515, ,515,515,T,6,2023,12,2023,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,N,,
64624,"Cedar Creek Wind, LLC",65311,"Cedar Creek Wind, LLC",ID,Bingham,CDCRK,Onshore Wind Turbine,WT,,S,X,X,,,160, ,160,160,T,12,2023,12,2023,N,IPP Non-CHP,2,N,WND,,,,,, ,,,,,,,,,,,,
64615,Antares Group Inc,65312,Shenvalee Solar,VA,Augusta,SV,Solar Photovoltaic,PV,,W,X,X,,,3, ,3,3,P,12,2022,12,2022,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
64615,Antares Group Inc,65313,Elm Spring Solar 1,VA,Augusta,ES,Solar Photovoltaic,PV,,W,X,X,,,3, ,3,3,P,12,2022,12,2022,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
64577,Caden Energix Wytheville LLC,65314,Caden Energix Wytheville LLC,VA,Wythe,ENX19,Solar Photovoltaic,PV,,S,X,X,,,20, ,20,20,T,4,2022,4,2022,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
9234,Indiana Municipal Power Agency,65315,Gas City 2,IN,Grant,GASC2,Solar Photovoltaic,PV,,S,X,X,,,1.8, ,1.8,1.4,U,12,2021,9,2022,N,Electric Utility,1,N,SUN,,,,,, ,,,,,,,,,,N,,
64716,Springfield Solar,65317,Springfield Solar,VA,Westmoreland,SPRG,Solar Photovoltaic,PV,,S,X,X,,,2, ,2,2,P,12,2022,12,2022,N,Electric Utility,1,N,SUN,,,,,, ,,,,,,,,,,,,
