source,Operating Year,capacity
nuclear,2016,1269.9
wind,2034,1364.39996
gas,2035,29787.29858
hydro,2035,276.39999
solar,2035,10101.10209
wind,2035,5455.19981
gas,2036,21111.199
hydro,2036,123.19999
nuclear,2036,1103.1
solar,2036,7136.20147
wind,2036,8642.59971
gas,2037,14503.99931
hydro,2037,60.7
nuclear,2037,2886.69999
solar,2037,8375.10173
wind,2037,8956.99969
gas,2038,11347.69946
hydro,2038,61.4
solar,2001,3.9
solar,2002,3
solar,2003,0.3
solar,2005,2.1
solar,2006,1.9
solar,2007,33.7
solar,2008,32.5
solar,2009,101.1
solar,2010,236.2
solar,2011,779.1
solar,2012,1616.4
solar,2013,2760.8
solar,2014,3412.6
solar,2015,3460.6
solar,2016,8247.9
solar,2017,5228.6
solar,2018,4920.2
solar,2019,5601.3
nuclear,2038,6169.39998
solar,2038,10015.30207
wind,2038,6849.49977
gas,2039,11215.59947
hydro,2039,2.9
nuclear,2039,2112.99999
solar,2039,7455.90154
wind,2039,6998.19976
gas,2040,15512.39926
hydro,2040,188.29999
solar,2040,8709.6018
wind,2040,9828.19967
gas,2041,10574.5995
hydro,2041,3.7
nuclear,2041,1846.2
solar,2041,13661.40283
wind,2041,24513.89916
gas,2042,13049.29938
hydro,2042,140.19999
nuclear,2042,4598.99998
solar,2042,13947.90289
wind,2042,14800.49949
gas,2043,16303.49923
hydro,2043,17.8
nuclear,2043,1320.5
solar,2043,12025.60249
wind,2043,11093.39962
gas,2044,12248.09942
hydro,2044,82.5
nuclear,2044,2445.99999
solar,2044,13020.2027
wind,1986,5.9
wind,1997,0.2
wind,1999,0.7
wind,2000,33.7
wind,2001,1440.7
wind,2002,657.6
wind,2003,1637.9
wind,2004,377.7
wind,2005,2146.5
wind,2006,2633.4
wind,2007,5325.4
wind,2008,8567.3
wind,2009,9973.1
wind,2010,4682.6
wind,2011,6831.5
wind,2012,13296.9
wind,2013,864.4
wind,2014,4955.2
wind,2015,8242.6
wind,2016,8757
wind,2017,6049.5
wind,2018,6878.1
wind,2019,9328.2
wind,2044,15135.29948
gas,2045,13500.99936
hydro,2045,79.2
nuclear,2045,7125.69997
solar,2045,17586.30364
wind,2045,36437.89875
gas,2046,10110.49952
hydro,2046,30.4
nuclear,2046,7703.49997
solar,2046,25659.60531
wind,2046,4441.99985
gas,2047,13951.49934
hydro,2047,21.4
nuclear,2047,7829.59997
solar,2047,27476.20569
wind,2047,3321.39989
gas,2048,16073.09924
hydro,2048,21.6
nuclear,2048,8023.39997
solar,2048,30407.7063
wind,2048,2383.69992
gas,2049,27973.89867
hydro,2049,42.7
nuclear,2049,6424.29998
solar,2049,31562.90653
wind,2049,8125.39972
gas,2050,14853.3993
hydro,2050,26.1
nuclear,2050,2669.29999
solar,2050,19576.00405
wind,2050,11667.2996
