name,facility_type,capacity,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,coordinate,plant_life,incommod,outcommod,,plant age
LE_Wind_Turbine_1_WTG1,wind,2.5,7,2011,7,2031,"(41.584444,-81.525555)",20,,,,9
Waverly_Wind_Farm_LLC_GEN1,wind,199,1,2016,1,2036,"(38.256944,-95.814166)",20,,,,4
Blue_Canyon_Windpower_VI_LLC_GEN1,wind,99.8,12,2011,12,2031,"(34.910361,-98.5599)",20,,,,9
Hidalgo_Wind_Farm_LLC_GEN1,wind,250,12,2016,12,2036,"(26.465556,-98.411111)",20,,,,4
Paulding_Wind_Farm_II_GEN1,wind,99,7,2011,7,2031,"(41.025278,-84.779166)",20,,,,9
Rising_Tree_Wind_Farm_GEN1,wind,79.2,1,2015,1,2035,"(35.0775,-118.218333)",20,,,,5
Bright_Stalk_Wind_Farm_I_GEN1,wind,205.2,12,2019,12,2039,"(40.701241,-88.701054)",20,,,,1
"Bos_Dairy,_LLC_BOS4",gas,1,3,2020,3,2050,"(41.1153,-87.2328)",30,,,,0
Foundation_ST_WTG1,wind,2,6,2011,6,2031,"(37.714167,-121.521666)",20,,,,9
Meadow_Lake_Wind_Farm_V_LLC_GEN1,wind,100,7,2017,7,2037,"(40.716111,-87.021111)",20,,,,3
Wolverine_1,wind,1.5,10,2010,10,2030,"(41.3931,-94.4447)",20,,,,10
Bulldog_1,wind,1.5,10,2010,10,2030,"(41.2258,-94.4406)",20,,,,10
Linden_Wind_Energy_Project_LW1,wind,50,6,2010,6,2030,"(45.744171,-120.783568)",20,,,,10
Union_City_Wind_Turbine_1,wind,1,3,2010,3,2030,"(40.1908,-84.8172)",20,,,,10
Randolph_Eastern_School_Wind_Turbine_1,wind,1,3,2010,3,2030,"(40.2097,-84.8219)",20,,,,10
Ironwood_Wind_1,wind,167.9,8,2012,8,2032,"(37.81828,-99.7754)",20,,,,8
500_Virginia_Solar_1,solar,1,7,2011,7,2036,"(40.139167,-75.191667)",25,,,,9
"Vestas_Towers_America,_Inc._V100",wind,1.8,4,2010,4,2030,"(38.1728,-104.62)",20,,,,10
Prairie_Rose_Wind_Farm_PR1,wind,200,12,2012,12,2032,"(43.828217,-96.321567)",20,,,,8
City_&_County_of_Denver_at_Denver_Int'l_PV1,solar,3.4,6,2011,6,2036,"(39.904133,-104.654183)",25,,,,9
McCormick_&_Co._Inc._at_Belcamp_PV1,solar,1.4,12,2010,12,2035,"(39.4836,-76.2292)",25,,,,10
"Toys_R_Us-_DE,_Inc._at_Mt._Olive,_NJ_PV1",solar,4.1,12,2011,12,2036,"(40.818888,-74.718611)",25,,,,9
Henkel_U.S._Operations_Corporation_WT1,wind,1.7,1,2012,1,2032,"(42.886944,-76.968333)",20,,,,8
Henkel_U.S._Operations_Corporation_WT2,wind,1.7,1,2012,1,2032,"(42.886944,-76.968333)",20,,,,8
Elm_Creek_Wind_II_LLC_1,wind,148.8,12,2010,12,2030,"(43.6848,-94.8799)",20,,,,10
Regulus_Solar_Project_FRV4,solar,60,11,2014,11,2039,"(35.3,-118.851944)",25,,,,6
Adobe_Solar_FRV3,solar,20,5,2014,5,2039,"(35.102778,-118.954444)",25,,,,6
Yamhill_Solar_LLC_1,solar,1,10,2011,10,2036,"(45.108889,-123.278611)",25,,,,9
Oregon_State_University_Energy_Center_CTG,gas,5.5,6,2010,6,2040,"(44.564333,-123.289089)",30,,,,10
Oregon_State_University_Energy_Center_STG,gas,1,6,2010,6,2040,"(44.564333,-123.289089)",30,,,,10
Bakersfield_College_Solar_01_BC01,solar,1.1,11,2010,11,2035,"(35.411817,-118.96864)",25,,,,10
"Temescal_Canyon_RV,_LLC_1",solar,1.5,5,2011,5,2036,"(33.826389,-117.511667)",25,,,,9
Avra_Valley_Solar_1,solar,25,1,2013,1,2038,"(32.371667,-111.282777)",25,,,,7
East_Blackland_Solar_Project_1_PSF,solar,144,7,2021,7,2046,"(30.4214,-97.4614)",25,,,,-1
Vineland_Mays_Landing_Solar_VNLND,solar,4,10,2011,10,2036,"(39.4175,-74.973889)",25,,,,9
Manalapan_Village_Solar_MANVL,solar,3.5,12,2011,12,2036,"(40.256667,-74.349722)",25,,,,9
McGraw_Hill_Solar_MCGRH,solar,12,12,2011,12,2036,"(40.279722,-74.556389)",25,,,,9
Cimarron_Windpower_II_1,wind,131,6,2012,6,2032,"(37.90133,-100.372)",20,,,,8
Astoria_Energy_II_CT3,gas,200,7,2011,7,2041,"(40.781321,-73.896618)",30,,,,9
Astoria_Energy_II_CT4,gas,200,7,2011,7,2041,"(40.781321,-73.896618)",30,,,,9
Astoria_Energy_II_ST2,gas,250,7,2011,7,2041,"(40.781321,-73.896618)",30,,,,9
SAF_Hydroelectric_LLC_1,hydro,0.6,12,2011,12,2051,"(44.978889,-93.247777)",40,,,,9
SAF_Hydroelectric_LLC_10,hydro,0.6,12,2011,12,2051,"(44.978889,-93.247777)",40,,,,9
SAF_Hydroelectric_LLC_11,hydro,0.6,12,2011,12,2051,"(44.978889,-93.247777)",40,,,,9
SAF_Hydroelectric_LLC_12,hydro,0.6,12,2011,12,2051,"(44.978889,-93.247777)",40,,,,9
SAF_Hydroelectric_LLC_13,hydro,0.6,12,2011,12,2051,"(44.978889,-93.247777)",40,,,,9
