,,,Emissions
2034,front_need,coal,1617186389.9147537
2034,front_need,gas,480638017.0695451
2034,front_need,hydro,2008659220.950272
2034,front_need,nuclear,103759.18637766004
2034,front_need,solar,65382812.92141171
2034,front_need,wind,1402975.2337861352
2034,oper_need,coal,524153977711.4179
2034,oper_need,gas,1299141893.0024369
2034,oper_need,hydro,0.0
2034,oper_need,nuclear,98278952.1179076
2034,oper_need,solar,490535247.60968274
2034,oper_need,wind,55904372.474778004
2035,front_need,coal,1617186389.9147537
2035,front_need,gas,480638017.0695451
2035,front_need,hydro,1790669261.8860614
2035,front_need,nuclear,103759.18637766004
2035,front_need,solar,65382812.92141171
2035,front_need,wind,1402975.2337861352
2035,oper_need,coal,524153977711.4179
2035,oper_need,gas,1299141893.0024369
2035,oper_need,hydro,0.0
2035,oper_need,nuclear,98278952.1179076
2035,oper_need,solar,490535247.60968274
2035,oper_need,wind,55904372.474778004
2036,front_need,coal,1617186389.9147537
2036,front_need,gas,480638017.0695451
2036,front_need,hydro,1790669261.8860614
2036,front_need,nuclear,103759.18637766004
2036,front_need,solar,65382812.92141171
2036,front_need,wind,1402975.2337861352
2036,oper_need,coal,524153977711.4179
2036,oper_need,gas,1299141893.0024369
2036,oper_need,hydro,0.0
2036,oper_need,nuclear,98278952.1179076
2036,oper_need,solar,490535247.60968274
2036,oper_need,wind,55904372.474778004
2037,front_need,coal,1617186389.9147537
2037,front_need,gas,480638017.0695451
2037,front_need,hydro,1790669261.8860614
2037,front_need,nuclear,103759.18637766004
2037,front_need,solar,65382812.92141171
2037,front_need,wind,1143837.9215885561
2037,oper_need,coal,524153977711.4179
2037,oper_need,gas,1299141893.0024369
2037,oper_need,hydro,0.0
2037,oper_need,nuclear,98278952.1179076
2037,oper_need,solar,490535247.60968274
2037,oper_need,wind,37593822.29507191
2038,front_need,coal,1617186389.9147537
2038,front_need,gas,480638017.0695451
2038,front_need,hydro,1790669261.8860614
2038,front_need,nuclear,103759.18637766004
2038,front_need,solar,65382812.92141171
2038,front_need,wind,1143837.9215885561
2038,oper_need,coal,524153977711.4179
2038,oper_need,gas,1299141893.0024369
2038,oper_need,hydro,0.0
2038,oper_need,nuclear,98278952.1179076
2038,oper_need,solar,490535247.60968274
2038,oper_need,wind,37593822.29507191
2039,front_need,coal,1617186389.9147537
2039,front_need,gas,480638017.0695451
2039,front_need,hydro,1790669261.8860614
2039,front_need,nuclear,103759.18637766004
2039,front_need,solar,65382812.92141171
2039,front_need,wind,1143837.9215885561
2039,oper_need,coal,524153977711.4179
2039,oper_need,gas,1299141893.0024369
2039,oper_need,hydro,0.0
2039,oper_need,nuclear,98278952.1179076
2039,oper_need,solar,490535247.60968274
2039,oper_need,wind,37593822.29507191
2040,front_need,coal,1617186389.9147537
2040,front_need,gas,480638017.0695451
2040,front_need,hydro,1790669261.8860614
2040,front_need,nuclear,103759.18637766004
2040,front_need,solar,65382812.92141171
2040,front_need,wind,1143837.9215885561
2040,oper_need,coal,524153977711.4179
2040,oper_need,gas,1299141893.0024369
2040,oper_need,hydro,0.0
2040,oper_need,nuclear,98278952.1179076
2040,oper_need,solar,490535247.60968274
2040,oper_need,wind,37593822.29507191
2041,front_need,coal,1617186389.9147537
2041,front_need,gas,480638017.0695451
2041,front_need,hydro,1790669261.8860614
2041,front_need,nuclear,99951.69517045672
2041,front_need,solar,65382812.92141171
2041,front_need,wind,1519986.4252865508
2041,oper_need,coal,524153977711.4179
2041,oper_need,gas,1299141893.0024369
2041,oper_need,hydro,0.0
2041,oper_need,nuclear,100785241.33431052
2041,oper_need,solar,490535247.60968274
2041,oper_need,wind,66511629.643714674
2042,front_need,coal,1350969795.9793506
2042,front_need,gas,480638017.0695451
2042,front_need,hydro,1790669261.8860614
2042,front_need,nuclear,99951.69517045672
2042,front_need,solar,65546425.84802202
2042,front_need,wind,1519986.4252865508
2042,oper_need,coal,438304163477.5909
2042,oper_need,gas,1299141893.0024369
2042,oper_need,hydro,0.0
2042,oper_need,nuclear,100785241.33431052
2042,oper_need,solar,493311049.11758196
2042,oper_need,wind,66511629.643714674
2043,front_need,coal,1541285824.5449042
2043,front_need,gas,480638017.0695451
2043,front_need,hydro,1790669261.8860614
2043,front_need,nuclear,99951.69517045672
2043,front_need,solar,64541688.16216515
2043,front_need,wind,1519986.4252865508
2043,oper_need,coal,499677481558.7207
2043,oper_need,gas,1299141893.0024369
2043,oper_need,hydro,0.0
