,coal,gas,wind,nuclear,hydro,oil,solar
2020,,,,,,,
2021,169.0,-208.0,59.80000000000001,-24.0,-1.599999999999966,-4.0,27.39999999999999
2022,51.0,2.0,11.0,-24.0,6.599999999999966,1.0,30.500000000000014
2023,-121.0,62.0,71.80000000000001,13.0,7.400000000000034,-1.0,13.099999999999994
2024,-91.0,-10.0,116.0,3.0,0.19999999999998863,-1.0,23.900000000000006
2025,-74.0,64.0,25.199999999999932,-8.0,-0.5,0.0,41.39999999999998
2026,16.0,37.0,2.6000000000000227,-86.0,0.10000000000002274,0.0,51.80000000000001
2027,-24.0,10.0,3.3999999999999773,-14.0,0.0999999999999659,-1.0,41.39999999999998
2028,5.0,-19.0,2.5,0.0,-0.0999999999999659,0.0,22.30000000000001
2029,1.0,-2.0,2.0,-15.0,0.0,0.0,32.80000000000001
2030,-9.0,-22.0,1.1000000000000227,0.0,-0.10000000000002274,0.0,23.899999999999977
2031,-12.0,10.0,1.3999999999999773,1.0,-0.19999999999998863,-1.0,20.200000000000045
2032,-12.0,4.0,2.1000000000000227,1.0,-0.19999999999998863,0.0,26.599999999999966
2033,-2.0,3.0,2.1000000000000227,-7.0,0.0,0.0,26.69999999999999
2034,-1.0,5.0,1.8999999999999773,-17.0,-0.10000000000002274,0.0,19.80000000000001
2035,-15.0,-10.0,1.8000000000000682,1.0,0.10000000000002274,0.0,24.69999999999999
2036,-1.0,8.0,1.5,-6.0,0.0,0.0,20.100000000000023
2037,-9.0,19.0,0.6999999999999318,0.0,-0.10000000000002274,0.0,19.200000000000045
2038,-17.0,30.0,1.7000000000000455,0.0,-0.10000000000002274,0.0,20.899999999999977
2039,-5.0,25.0,0.7999999999999545,0.0,-0.0999999999999659,-1.0,14.0
2040,-2.0,26.0,1.3999999999999773,-8.0,-0.10000000000002274,0.0,13.100000000000023
2041,-3.0,14.0,1.8000000000000682,1.0,-0.0999999999999659,0.0,23.199999999999932
2042,0.0,24.0,-0.6000000000000227,1.0,-0.10000000000002274,0.0,16.399999999999977
2043,-7.0,32.0,2.7000000000000455,1.0,0.0,-1.0,17.40000000000009
2044,-4.0,24.0,5.199999999999932,1.0,-0.6000000000000227,0.0,19.199999999999932
2045,-13.0,23.0,5.399999999999977,0.0,0.20000000000004547,0.0,26.800000000000068
2046,-2.0,9.0,4.100000000000023,1.0,0.0,0.0,33.0
2047,-1.0,12.0,5.7000000000000455,-7.0,-0.10000000000002274,0.0,34.5
2048,3.0,20.0,2.699999999999932,0.0,0.19999999999998863,0.0,21.799999999999955
2049,2.0,22.0,6.400000000000091,0.0,-0.19999999999998863,0.0,22.399999999999977
2050,-1.0,25.0,8.899999999999977,1.0,-0.19999999999998863,0.0,22.0
